what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1298528803763
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1298528803763
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1298528803764
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1298528803764
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1298528803764
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1298528803765
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1298528803765
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1298528803766
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1298528803766
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1298528803767
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1298528803768
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1298528803773
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1298528803773
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1298528803775
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1298528803775
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1298528803776
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1298528803777
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1298528803778
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1298528803779
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1298528803779
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1298528803781
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1298528803785
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1298528803786
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1298528803787
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1298528803788
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1298528803789
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1298528803790
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1298528803791
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1298528803792
os,sysinfo,,,"win32",1298528803797
arch,sysinfo,,,"x86",1298528803797
ws,sysinfo,,,"win32",1298528803797
locale,sysinfo,,,"zh_CN",1298528803797
processors,sysinfo,,,"4",1298528803797
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298528803797
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1298528803797
java.specification.name,sysinfo,,,"Java Platform API Specification",1298528803797
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298528803797
java.specification.version,sysinfo,,,"1.6",1298528803797
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298528803797
java.version,sysinfo,,,"1.6.0_21",1298528803797
java.vm.info,sysinfo,,,"mixed mode, sharing",1298528803797
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298528803797
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298528803797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298528803797
java.vm.specification.version,sysinfo,,,"1.0",1298528803797
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298528803797
java.vm.version,sysinfo,,,"17.0-b16",1298528803797
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1298528803818
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1298528803821
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1298528804019
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1298528805221
error,log,,,"Background Indexer Crash Recovery",1298528805668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298528811762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298528814761
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1298528814812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298528819131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298528822115
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298528822197
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1298528822476
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1298528822477
